"";"code_muni";"name_muni"
"1";4300001;"LAGOA MIRIM"
"2";4300002;"LAGOA DOS PATOS"
"3";4300034;"ACEGUA"
"4";4300059;"AGUA SANTA"
"5";4300109;"AGUDO"
"6";4300208;"AJURICABA"
"7";4300307;"ALECRIM"
"8";4300406;"ALEGRETE"
"9";4300455;"ALEGRIA"
"10";4300471;"ALMIRANTE TAMANDARE DO SUL"
"11";4300505;"ALPESTRE"
"12";4300554;"ALTO ALEGRE"
"13";4300570;"ALTO FELIZ"
"14";4300604;"ALVORADA"
"15";4300638;"AMARAL FERRADOR"
"16";4300646;"AMETISTA DO SUL"
"17";4300661;"ANDRE DA ROCHA"
"18";4300703;"ANTA GORDA"
"19";4300802;"ANTONIO PRADO"
"20";4300851;"ARAMBARE"
"21";4300877;"ARARICA"
"22";4300901;"ARATIBA"
"23";4301008;"ARROIO DO MEIO"
"24";4301057;"ARROIO DO SAL"
"25";4301073;"ARROIO DO PADRE"
"26";4301107;"ARROIO DOS RATOS"
"27";4301206;"ARROIO DO TIGRE"
"28";4301305;"ARROIO GRANDE"
"29";4301404;"ARVOREZINHA"
"30";4301503;"AUGUSTO PESTANA"
"31";4301552;"AUREA"
"32";4301602;"BAGE"
"33";4301636;"BALNEARIO PINHAL"
"34";4301651;"BARAO"
"35";4301701;"BARAO DE COTEGIPE"
"36";4301750;"BARAO DO TRIUNFO"
"37";4301800;"BARRACAO"
"38";4301859;"BARRA DO GUARITA"
"39";4301875;"BARRA DO QUARAI"
"40";4301909;"BARRA DO RIBEIRO"
"41";4301925;"BARRA DO RIO AZUL"
"42";4301958;"BARRA FUNDA"
"43";4302006;"BARROS CASSAL"
"44";4302055;"BENJAMIN CONSTANT DO SUL"
"45";4302105;"BENTO GONCALVES"
"46";4302154;"BOA VISTA DAS MISSOES"
"47";4302204;"BOA VISTA DO BURICA"
"48";4302220;"BOA VISTA DO CADEADO"
"49";4302238;"BOA VISTA DO INCRA"
"50";4302253;"BOA VISTA DO SUL"
"51";4302303;"BOM JESUS"
"52";4302352;"BOM PRINCIPIO"
"53";4302378;"BOM PROGRESSO"
"54";4302402;"BOM RETIRO DO SUL"
"55";4302451;"BOQUEIRAO DO LEAO"
"56";4302501;"BOSSOROCA"
"57";4302584;"BOZANO"
"58";4302600;"BRAGA"
"59";4302659;"BROCHIER"
"60";4302709;"BUTIA"
"61";4302808;"CACAPAVA DO SUL"
"62";4302907;"CACEQUI"
"63";4303004;"CACHOEIRA DO SUL"
"64";4303103;"CACHOEIRINHA"
"65";4303202;"CACIQUE DOBLE"
"66";4303301;"CAIBATE"
"67";4303400;"CAICARA"
"68";4303509;"CAMAQUA"
"69";4303558;"CAMARGO"
"70";4303608;"CAMBARA DO SUL"
"71";4303673;"CAMPESTRE DA SERRA"
"72";4303707;"CAMPINA DAS MISSOES"
"73";4303806;"CAMPINAS DO SUL"
"74";4303905;"CAMPO BOM"
"75";4304002;"CAMPO NOVO"
"76";4304101;"CAMPOS BORGES"
"77";4304200;"CANDELARIA"
"78";4304309;"CANDIDO GODOI"
"79";4304358;"CANDIOTA"
"80";4304408;"CANELA"
"81";4304507;"CANGUCU"
"82";4304606;"CANOAS"
"83";4304614;"CANUDOS DO VALE"
"84";4304622;"CAPAO BONITO DO SUL"
"85";4304630;"CAPAO DA CANOA"
"86";4304655;"CAPAO DO CIPO"
"87";4304663;"CAPAO DO LEAO"
"88";4304671;"CAPIVARI DO SUL"
"89";4304689;"CAPELA DE SANTANA"
"90";4304697;"CAPITAO"
"91";4304705;"CARAZINHO"
"92";4304713;"CARAA"
"93";4304804;"CARLOS BARBOSA"
"94";4304853;"CARLOS GOMES"
"95";4304903;"CASCA"
"96";4304952;"CASEIROS"
"97";4305009;"CATUIPE"
"98";4305108;"CAXIAS DO SUL"
"99";4305116;"CENTENARIO"
"100";4305124;"CERRITO"
"101";4305132;"CERRO BRANCO"
"102";4305157;"CERRO GRANDE"
"103";4305173;"CERRO GRANDE DO SUL"
"104";4305207;"CERRO LARGO"
"105";4305306;"CHAPADA"
"106";4305355;"CHARQUEADAS"
"107";4305371;"CHARRUA"
"108";4305405;"CHIAPETTA"
"109";4305439;"CHUI"
"110";4305447;"CHUVISCA"
"111";4305454;"CIDREIRA"
"112";4305504;"CIRIACO"
"113";4305587;"COLINAS"
"114";4305603;"COLORADO"
"115";4305702;"CONDOR"
"116";4305801;"CONSTANTINA"
"117";4305835;"COQUEIRO BAIXO"
"118";4305850;"COQUEIROS DO SUL"
"119";4305871;"CORONEL BARROS"
"120";4305900;"CORONEL BICACO"
"121";4305934;"CORONEL PILAR"
"122";4305959;"COTIPORA"
"123";4305975;"COXILHA"
"124";4306007;"CRISSIUMAL"
"125";4306056;"CRISTAL"
"126";4306072;"CRISTAL DO SUL"
"127";4306106;"CRUZ ALTA"
"128";4306130;"CRUZALTENSE"
"129";4306205;"CRUZEIRO DO SUL"
"130";4306304;"DAVID CANABARRO"
"131";4306320;"DERRUBADAS"
"132";4306353;"DEZESSEIS DE NOVEMBRO"
"133";4306379;"DILERMANDO DE AGUIAR"
"134";4306403;"DOIS IRMAOS"
"135";4306429;"DOIS IRMAOS DAS MISSOES"
"136";4306452;"DOIS LAJEADOS"
"137";4306502;"DOM FELICIANO"
"138";4306551;"DOM PEDRO DE ALCANTARA"
"139";4306601;"DOM PEDRITO"
"140";4306700;"DONA FRANCISCA"
"141";4306734;"DOUTOR MAURICIO CARDOSO"
"142";4306759;"DOUTOR RICARDO"
"143";4306767;"ELDORADO DO SUL"
"144";4306809;"ENCANTADO"
"145";4306908;"ENCRUZILHADA DO SUL"
"146";4306924;"ENGENHO VELHO"
"147";4306932;"ENTREIJUIS"
"148";4306957;"ENTRE RIOS DO SUL"
"149";4306973;"EREBANGO"
"150";4307005;"ERECHIM"
"151";4307054;"ERNESTINA"
"152";4307104;"HERVAL"
"153";4307203;"ERVAL GRANDE"
"154";4307302;"ERVAL SECO"
"155";4307401;"ESMERALDA"
"156";4307450;"ESPERANCA DO SUL"
"157";4307500;"ESPUMOSO"
"158";4307559;"ESTACAO"
"159";4307609;"ESTANCIA VELHA"
"160";4307708;"ESTEIO"
"161";4307807;"ESTRELA"
"162";4307815;"ESTRELA VELHA"
"163";4307831;"EUGENIO DE CASTRO"
"164";4307864;"FAGUNDES VARELA"
"165";4307906;"FARROUPILHA"
"166";4308003;"FAXINAL DO SOTURNO"
"167";4308052;"FAXINALZINHO"
"168";4308078;"FAZENDA VILANOVA"
"169";4308102;"FELIZ"
"170";4308201;"FLORES DA CUNHA"
"171";4308250;"FLORIANO PEIXOTO"
"172";4308300;"FONTOURA XAVIER"
"173";4308409;"FORMIGUEIRO"
"174";4308433;"FORQUETINHA"
"175";4308458;"FORTALEZA DOS VALOS"
"176";4308508;"FREDERICO WESTPHALEN"
"177";4308607;"GARIBALDI"
"178";4308656;"GARRUCHOS"
"179";4308706;"GAURAMA"
"180";4308805;"GENERAL CAMARA"
"181";4308854;"GENTIL"
"182";4308904;"GETULIO VARGAS"
"183";4309001;"GIRUA"
"184";4309050;"GLORINHA"
"185";4309100;"GRAMADO"
"186";4309126;"GRAMADO DOS LOUREIROS"
"187";4309159;"GRAMADO XAVIER"
"188";4309209;"GRAVATAI"
"189";4309258;"GUABIJU"
"190";4309308;"GUAIBA"
"191";4309407;"GUAPORE"
"192";4309506;"GUARANI DAS MISSOES"
"193";4309555;"HARMONIA"
"194";4309571;"HERVEIRAS"
"195";4309605;"HORIZONTINA"
"196";4309654;"HULHA NEGRA"
"197";4309704;"HUMAITA"
"198";4309753;"IBARAMA"
"199";4309803;"IBIACA"
"200";4309902;"IBIRAIARAS"
"201";4309951;"IBIRAPUITA"
"202";4310009;"IBIRUBA"
"203";4310108;"IGREJINHA"
"204";4310207;"IJUI"
"205";4310306;"ILOPOLIS"
"206";4310330;"IMBE"
"207";4310363;"IMIGRANTE"
"208";4310405;"INDEPENDENCIA"
"209";4310413;"INHACORA"
"210";4310439;"IPE"
"211";4310462;"IPIRANGA DO SUL"
"212";4310504;"IRAI"
"213";4310538;"ITAARA"
"214";4310553;"ITACURUBI"
"215";4310579;"ITAPUCA"
"216";4310603;"ITAQUI"
"217";4310652;"ITATI"
"218";4310702;"ITATIBA DO SUL"
"219";4310751;"IVORA"
"220";4310801;"IVOTI"
"221";4310850;"JABOTICABA"
"222";4310876;"JACUIZINHO"
"223";4310900;"JACUTINGA"
"224";4311007;"JAGUARAO"
"225";4311106;"JAGUARI"
"226";4311122;"JAQUIRANA"
"227";4311130;"JARI"
"228";4311155;"JOIA"
"229";4311205;"JULIO DE CASTILHOS"
"230";4311239;"LAGOA BONITA DO SUL"
"231";4311254;"LAGOAO"
"232";4311270;"LAGOA DOS TRES CANTOS"
"233";4311304;"LAGOA VERMELHA"
"234";4311403;"LAJEADO"
"235";4311429;"LAJEADO DO BUGRE"
"236";4311502;"LAVRAS DO SUL"
"237";4311601;"LIBERATO SALZANO"
"238";4311627;"LINDOLFO COLLOR"
"239";4311643;"LINHA NOVA"
"240";4311700;"MACHADINHO"
"241";4311718;"MACAMBARA"
"242";4311734;"MAMPITUBA"
"243";4311759;"MANOEL VIANA"
"244";4311775;"MAQUINE"
"245";4311791;"MARATA"
"246";4311809;"MARAU"
"247";4311908;"MARCELINO RAMOS"
"248";4311981;"MARIANA PIMENTEL"
"249";4312005;"MARIANO MORO"
"250";4312054;"MARQUES DE SOUZA"
"251";4312104;"MATA"
"252";4312138;"MATO CASTELHANO"
"253";4312153;"MATO LEITAO"
"254";4312179;"MATO QUEIMADO"
"255";4312203;"MAXIMILIANO DE ALMEIDA"
"256";4312252;"MINAS DO LEAO"
"257";4312302;"MIRAGUAI"
"258";4312351;"MONTAURI"
"259";4312377;"MONTE ALEGRE DOS CAMPOS"
"260";4312385;"MONTE BELO DO SUL"
"261";4312401;"MONTENEGRO"
"262";4312427;"MORMACO"
"263";4312443;"MORRINHOS DO SUL"
"264";4312450;"MORRO REDONDO"
"265";4312476;"MORRO REUTER"
"266";4312500;"MOSTARDAS"
"267";4312609;"MUCUM"
"268";4312617;"MUITOS CAPOES"
"269";4312625;"MULITERNO"
"270";4312658;"NAOMETOQUE"
"271";4312674;"NICOLAU VERGUEIRO"
"272";4312708;"NONOAI"
"273";4312757;"NOVA ALVORADA"
"274";4312807;"NOVA ARACA"
"275";4312906;"NOVA BASSANO"
"276";4312955;"NOVA BOA VISTA"
"277";4313003;"NOVA BRESCIA"
"278";4313011;"NOVA CANDELARIA"
"279";4313037;"NOVA ESPERANCA DO SUL"
"280";4313060;"NOVA HARTZ"
"281";4313086;"NOVA PADUA"
"282";4313102;"NOVA PALMA"
"283";4313201;"NOVA PETROPOLIS"
"284";4313300;"NOVA PRATA"
"285";4313334;"NOVA RAMADA"
"286";4313359;"NOVA ROMA DO SUL"
"287";4313375;"NOVA SANTA RITA"
"288";4313391;"NOVO CABRAIS"
"289";4313409;"NOVO HAMBURGO"
"290";4313425;"NOVO MACHADO"
"291";4313441;"NOVO TIRADENTES"
"292";4313466;"NOVO XINGU"
"293";4313490;"NOVO BARREIRO"
"294";4313508;"OSORIO"
"295";4313607;"PAIM FILHO"
"296";4313656;"PALMARES DO SUL"
"297";4313706;"PALMEIRA DAS MISSOES"
"298";4313805;"PALMITINHO"
"299";4313904;"PANAMBI"
"300";4313953;"PANTANO GRANDE"
"301";4314001;"PARAI"
"302";4314027;"PARAISO DO SUL"
"303";4314035;"PARECI NOVO"
"304";4314050;"PAROBE"
"305";4314068;"PASSA SETE"
"306";4314076;"PASSO DO SOBRADO"
"307";4314100;"PASSO FUNDO"
"308";4314134;"PAULO BENTO"
"309";4314159;"PAVERAMA"
"310";4314175;"PEDRAS ALTAS"
"311";4314209;"PEDRO OSORIO"
"312";4314308;"PEJUCARA"
"313";4314407;"PELOTAS"
"314";4314423;"PICADA CAFE"
"315";4314456;"PINHAL"
"316";4314464;"PINHAL DA SERRA"
"317";4314472;"PINHAL GRANDE"
"318";4314498;"PINHEIRINHO DO VALE"
"319";4314506;"PINHEIRO MACHADO"
"320";4314548;"PINTO BANDEIRA"
"321";4314555;"PIRAPO"
"322";4314605;"PIRATINI"
"323";4314704;"PLANALTO"
"324";4314753;"POCO DAS ANTAS"
"325";4314779;"PONTAO"
"326";4314787;"PONTE PRETA"
"327";4314803;"PORTAO"
"328";4314902;"PORTO ALEGRE"
"329";4315008;"PORTO LUCENA"
"330";4315057;"PORTO MAUA"
"331";4315073;"PORTO VERA CRUZ"
"332";4315107;"PORTO XAVIER"
"333";4315131;"POUSO NOVO"
"334";4315149;"PRESIDENTE LUCENA"
"335";4315156;"PROGRESSO"
"336";4315172;"PROTASIO ALVES"
"337";4315206;"PUTINGA"
"338";4315305;"QUARAI"
"339";4315313;"QUATRO IRMAOS"
"340";4315321;"QUEVEDOS"
"341";4315354;"QUINZE DE NOVEMBRO"
"342";4315404;"REDENTORA"
"343";4315453;"RELVADO"
"344";4315503;"RESTINGA SECA"
"345";4315552;"RIO DOS INDIOS"
"346";4315602;"RIO GRANDE"
"347";4315701;"RIO PARDO"
"348";4315750;"RIOZINHO"
"349";4315800;"ROCA SALES"
"350";4315909;"RODEIO BONITO"
"351";4315958;"ROLADOR"
"352";4316006;"ROLANTE"
"353";4316105;"RONDA ALTA"
"354";4316204;"RONDINHA"
"355";4316303;"ROQUE GONZALES"
"356";4316402;"ROSARIO DO SUL"
"357";4316428;"SAGRADA FAMILIA"
"358";4316436;"SALDANHA MARINHO"
"359";4316451;"SALTO DO JACUI"
"360";4316477;"SALVADOR DAS MISSOES"
"361";4316501;"SALVADOR DO SUL"
"362";4316600;"SANANDUVA"
"363";4316709;"SANTA BARBARA DO SUL"
"364";4316733;"SANTA CECILIA DO SUL"
"365";4316758;"SANTA CLARA DO SUL"
"366";4316808;"SANTA CRUZ DO SUL"
"367";4316907;"SANTA MARIA"
"368";4316956;"SANTA MARIA DO HERVAL"
"369";4316972;"SANTA MARGARIDA DO SUL"
"370";4317004;"SANTANA DA BOA VISTA"
"371";4317103;"SANTANA DO LIVRAMENTO"
"372";4317202;"SANTA ROSA"
"373";4317251;"SANTA TEREZA"
"374";4317301;"SANTA VITORIA DO PALMAR"
"375";4317400;"SANTIAGO"
"376";4317509;"SANTO ANGELO"
"377";4317558;"SANTO ANTONIO DO PALMA"
"378";4317608;"SANTO ANTONIO DA PATRULHA"
"379";4317707;"SANTO ANTONIO DAS MISSOES"
"380";4317756;"SANTO ANTONIO DO PLANALTO"
"381";4317806;"SANTO AUGUSTO"
"382";4317905;"SANTO CRISTO"
"383";4317954;"SANTO EXPEDITO DO SUL"
"384";4318002;"SAO BORJA"
"385";4318051;"SAO DOMINGOS DO SUL"
"386";4318101;"SAO FRANCISCO DE ASSIS"
"387";4318200;"SAO FRANCISCO DE PAULA"
"388";4318309;"SAO GABRIEL"
"389";4318408;"SAO JERONIMO"
"390";4318424;"SAO JOAO DA URTIGA"
"391";4318432;"SINE"
"392";4318440;"SAO JORGE"
"393";4318457;"SAO JOSE DAS MIOSOES"
"394";4318465;"SAO JOSE DO HERVAL"
"395";4318481;"SAO JOSE DO HOETENCIO"
"396";4318499;"SAO JOSE DO INHACARA"
"397";4318507;"SAO JOSE DO NORTE"
"398";4318606;"SAO JOSE DO OURO"
"399";4318614;"SAO JOSE DO SUL"
"400";4318622;"SAO JOSE DOS AUSENTES"
"401";4318705;"SAO LEOPOLDO"
"402";4318804;"SAO LOURENCO DO SUL"
"403";4318903;"SAO LUIZ GONZAGA"
"404";4319000;"SAO MARCOS"
"405";4319109;"SAO MARTINHO"
"406";4319125;"SAO MARTINHO DA SERRA"
"407";4319158;"SAO MIGUEL DAS MISSOES"
"408";4319208;"SAO NICOLAU"
"409";4319307;"SAO PAULO DAS MISSOES"
"410";4319356;"SAO PEDRO DA SERRA"
"411";4319364;"SAO PEDRO DAS MISSOES"
"412";4319372;"SAO PEDRO DO BUTIA"
"413";4319406;"SAO PEDRO DO SUL"
"414";4319505;""
"415";4319604;"SAO SEPE"
"416";4319703;"SAO VALENTIM"
"417";4319711;"SAO VALENTIM DO SUL"
"418";4319737;"SAO VALERIO DO SUI"
"419";4319752;"SAO VENDELINO"
"420";4319802;"SAO VICENTE DO SUL"
"421";4319901;"SAPIRANGA"
"422";4320008;"SAPUCAIA DO SUL"
"423";4320107;"SARANDI"
"424";4320206;"SEBERI"
"425";4320230;"SEDE NOVA"
"426";4320263;"SEGREDO"
"427";4320305;"SELBACH"
"428";4320321;"SENADOR SALGADO FILHO"
"429";4320354;"SENTINELA DO SUL"
"430";4320404;"SERAFINA CORREA"
"431";4320453;"SERIO"
"432";4320503;"SERTAO"
"433";4320552;"SERTAO SANTANA"
"434";4320578;"SETE DE SETEMBRO"
"435";4320602;"SEVERIANO DE ALMEIDA"
"436";4320651;"SILVEIRA MARTINS"
"437";4320677;"SINIMBU"
"438";4320701;"SOBRADINHO"
"439";4320800;"SOLEDADE"
"440";4320859;"TABAI"
"441";4320909;"TAPEJARA"
"442";4321006;"TAPERA"
"443";4321105;"TAPES"
"444";4321204;"TAQUARA"
"445";4321303;"TAQUARI"
"446";4321329;"TAQUARUCU DO SUL"
"447";4321352;"TAVARES"
"448";4321402;"TENENTE PORTELA"
"449";4321436;"TERRA DE AREIA"
"450";4321451;"TEUTONIA"
"451";4321469;"TIO HUGO"
"452";4321477;"TIRADENTES DO SUL"
"453";4321493;"TOROPI"
"454";4321501;"TORRES"
"455";4321600;"TRAMANDAI"
"456";4321626;"TRAVESSEIRO"
"457";4321634;"TRES ARROIOS"
"458";4321667;"TRES CACHOEIRAS"
"459";4321709;"TRES COROAS"
"460";4321808;"TRES DE MAIO"
"461";4321832;"TRES FORQUILHAS"
"462";4321857;"TRES PALMEIRAS"
"463";4321907;"TRES PASSOS"
"464";4321956;"TRINDADE DO SUL"
"465";4322004;"TRIUNFO"
"466";4322103;"TUCUNDUVA"
"467";4322152;"TUNAS"
"468";4322186;"TUPANCI DO SUL"
"469";4322202;"TUPANCIRETA"
"470";4322251;"TUPANDI"
"471";4322301;"TUPARENDI"
"472";4322327;"TURUCU"
"473";4322343;"UBIRETAMA"
"474";4322350;"UNIAO DA SERRA"
"475";4322376;"UNISTALDA"
"476";4322400;"URUGUAIANA"
"477";4322509;"VACARIA"
"478";4322525;"VALE VERDE"
"479";4322533;"VALE DO SOL"
"480";4322541;"VALE REAL"
"481";4322558;"VANINI"
"482";4322608;"VENANCIO AIRES"
"483";4322707;"VERA CRUZ"
"484";4322806;"VERANOPOLIS"
"485";4322855;"VESPASIANO CORREA"
"486";4322905;"VIADUTOS"
"487";4323002;"VIAMAO"
"488";4323101;"VICENTE DUTRA"
"489";4323200;"VICTOR GRAEFF"
"490";4323309;"VILA FLORES"
"491";4323358;"VILA LANGARO"
"492";4323408;"VILA MARIA"
"493";4323457;"VILA NOVA DO SUL"
"494";4323507;"VISTA ALEGRE"
"495";4323606;"VISTA ALEGRE DO PRATA"
"496";4323705;"VISTA GAUCHA"
"497";4323754;"VITORIA DAS MISSOES"
"498";4323770;"WESTFALIA"
"499";4323804;"XANGRILA"
